Date,station,Pluvio_du_jour,Cumul_du_mois,Cumul_moy_du_mois,Cumul_periode,Cumul_moy_periode,Cumul_mois_precedent,Cumul_periode_precedente
2025-02-26,المكناسي ,0.0,77.5,14.245384584092177,185.0,137.80942863624617,0.0,26.0
2025-02-26,الرقاب ,5.0,37.0,13.609956711127518,273.7,138.79347618690238,0.0,48.0
2025-02-26,جلمة ,0.0,19.5,15.688717960903784,117.8,131.42502652629773,1.0,72.0
2025-02-26,المزونة,0.0,42.5,14.031250029802322,145.0,131.02375888778224,0.0,23.0
2025-02-26,سوسة,4.0,54.0,32.90054934764254,324.5,256.45918370524845,7.0,150.0
2025-02-26,النفيضة,5.0,54.0,37.20000000395205,373.3,258.10184216841594,8.0,176.5
2025-02-26,مساكن ,4.0,47.0,27.162769271032168,301.5,239.528164746914,4.5,199.5
2025-02-26,سيدي بوعلي ,10.0,85.0,33.334437545854286,377.0,236.16250327326614,13.0,131.0
2025-02-26,الكندار,10.0,37.0,27.027083285152912,276.5,205.3159027578105,5.0,104.5
2025-02-26,المنستير,4.0,93.0,32.94189858058568,488.0,250.79058456910002,25.0,258.0
2025-02-26,المكنين ,5.0,94.0,36.12169231818272,544.0,281.4522043121104,13.0,212.0
2025-02-26,طبلبة,3.0,56.0,34.73809523485145,521.0,285.3070659786343,13.0,200.0
2025-02-26,جــمال,3.0,99.0,32.37730213306981,453.0,273.2607891717395,14.0,207.0
2025-02-26,المهدية,4.5,51.1,30.229538523199466,451.2,264.3460002793371,20.4,258.4
2025-02-26,الشابة,3.0,65.5,24.800724655821707,467.5,243.63111124038687,4.0,251.0
2025-02-26,السواسي,2.0,48.0,19.503061231301754,264.0,169.1623659014278,5.7,155.29999999999998
2025-02-26,الـــجم ,2.0,47.0,26.216666695972293,342.7,205.2990246173225,7.8,174.60000000000002
2025-02-26,صفاقس,0.0,34.0,16.726769161430692,238.79999999999998,161.7439999093116,5.0,63.5
2025-02-26,عقارب,0.0,32.0,14.673999979496005,274.4,140.68614295129464,7.0,50.0
2025-02-26,بير علي بن خليفة,0.0,36.0,16.528923083727175,246.0,134.45581804010138,1.0,33.0
2025-02-26,الغريبة,0.0,25.0,10.62826086645541,208.79999999999998,130.37043125763552,8.5,35.5
2025-02-26,قرقنة,0.0,21.0,15.657863227730116,235.5,155.8590253614917,0.0,95.0
2025-02-26,منزل شاكر,0.0,34.0,18.165848336061103,242.5,148.7262041537129,5.0,63.0
2025-02-26,الحنشة,0.0,51.0,20.082050248706363,333.0,169.19681090009757,8.0,123.0
2025-02-26,قفصة ,0.0,26.0,12.784307774626294,82.5,108.42000004619362,0.0,33.0
2025-02-26,القطار,0.0,26.0,10.652651487877874,114.0,94.66553723281625,0.0,15.0
2025-02-26,السند,0.0,58.0,14.931250029243529,178.0,130.64888992059588,0.0,36.0
2025-02-26,المنلوي,0.0,26.0,10.830434786560744,85.0,75.11392848949195,0.0,21.5
2025-02-26,الرديف ,0.0,37.5,10.366666654124856,112.0,100.09233919046822,0.0,33.0
2025-02-26,سيدي يعيش,0.0,16.0,10.714444448219407,150.0,136.40134233843568,0.0,30.5
2025-02-26,أم العرائس,0.0,68.0,13.156521756040013,145.3,84.94531428819006,0.0,28.0
2025-02-26,توزر ,0.0,61.5,6.957076938060612,102.5,61.73726533550082,1.0,13.2
2025-02-26,تمغزة,0.0,33.0,6.4161290391798955,86.0,69.39167775986253,1.0,20.5
2025-02-26,دقاش,0.0,64.0,6.0209302223005965,105.0,64.55347939115288,0.5,16.5
2025-02-26,نفطة ,0.0,54.0,6.1255319126425904,92.5,61.28640147983672,1.0,11.5
2025-02-26,قبلي ,0.0,15.4,9.29777776317464,81.2,67.01708363997393,2.3,19.7
2025-02-26,الفوار,0.0,19.5,5.9793543412654975,74.3,51.6792917362882,0.0,22.5
2025-02-26,دوز ,0.0,28.5,8.143589716500198,60.199999999999996,60.94718324729552,0.8,23.7
2025-02-26,قابس ,1.0,56.0,15.451538467223827,165.5,156.24506080231188,4.5,66.0
2025-02-26,الحامة,0.0,35.0,12.882499983906747,96.0,107.80230762762234,2.0,38.0
2025-02-26,المطوية ,1.0,58.0,16.157948729013786,208.0,137.06902813455957,4.0,60.5
2025-02-26,مطماطة,0.0,46.0,17.58169229434087,194.5,137.51138785781902,3.0,114.5
2025-02-26,مدنين ,0.0,8.4,16.636734695610954,108.0,117.15130640809025,12.0,154.89999999999998
2025-02-26,بني خداش,0.0,9.8,28.229268198696577,81.2,157.81951214336766,7.9,65.7
2025-02-26,بن قردان ,0.0,7.5,19.887500005012214,131.2,141.34355960878707,13.8,123.6
2025-02-26,جرجيس,0.0,12.7,16.893537440166185,92.8,192.50415315503852,29.4,116.1
2025-02-26,جربة حومة السوق,0.0,18.5,19.249076963846505,146.5,181.8519593165026,7.0,89.9
2025-02-26,تطاوين ,0.0,4.6,13.198942918102032,118.49999999999999,80.29382611020279,14.2,65.0
2025-02-26,غمراسن,0.0,2.5,15.497804859280588,72.4,85.74099284544555,13.5,47.3
2025-02-26,رمادة ,0.0,1.2,8.71247354496357,101.4,52.895912066227545,2.5,22.3
2025-02-25,جندوبة,0.2,21.5,51.6130769076829,246.7,293.7720001007617,57.099999999999994,232.2
2025-02-25,بوسالم,2.0,51.1,50.99212133544261,234.99999999999997,284.1600003227594,50.7,259.79999999999995
2025-02-25,غار الدماء,1.0,15.6,52.05595246210795,236.6,277.9081630793454,89.3,210.8
2025-02-25,عين دراهم,1.0,155.0,192.68969249661154,1014.0,1109.9700000911944,239.0,1072.0
2025-02-25,طبرقة,0.0,60.00000000000001,111.2253845676665,724.3,703.7760009613636,86.6,535.8000000000001
2025-02-25,سد بوهرتمة,0.0,41.3,99.68611130131538,413.0,507.7683263933122,108.9,462.80000000000007
2025-02-25,بــاجة,1.0,50.5,74.66369220285462,402.5,396.45669886951157,56.300000000000004,332.7
2025-02-25,مجاز الباب,6.0,45.0,54.22505039882781,274.0,271.8895651539166,21.5,181.0
2025-02-25,نفزة ,0.0,55.0,119.73605449137843,831.0,696.9611990952777,63.0,515.0
2025-02-25,سد سيدي سالم,4.2,40.5,52.062499972060316,218.40000000000003,280.2954785828412,22.0,169.0
2025-02-25,تبرسق ,0.0,55.0,68.63246167531379,262.5,366.35526507274244,42.5,225.0
2025-02-25,تيبار ,0.0,59.0,64.42523088374963,333.0,357.5731430947962,55.0,293.0
2025-02-25,الكاف ,0.0,59.9,44.866604854147155,369.5,256.3734695432442,38.7,255.10000000000002
2025-02-25,سد ملاق,0.6,43.4,29.023384565069126,257.6,175.88857103604124,67.8,183.89999999999998
2025-02-25,ساقية سيدي يوسف,0.0,23.8,50.3121213564969,306.9,304.91111122883035,81.0,222.2
2025-02-25,قلعة سنان,0.0,41.0,27.798535354992357,164.5,206.07823238783712,19.0,112.0
2025-02-25,القصور,0.0,46.5,35.40000001013279,165.5,222.7860000154376,31.5,158.5
2025-02-25,السرس,0.0,54.0,39.28266376612932,210.0,241.43720925010214,26.5,134.5
2025-02-25,تاجروين,0.0,47.5,34.73488383653552,217.0,223.73916578476883,26.0,117.5
2025-02-25,سليانة,0.0,47.0,39.33042861397778,230.0,244.0580000306666,36.5,151.5
2025-02-25,بوعرادة,0.0,63.0,47.227083358758435,250.0,268.0938904305537,26.0,196.0
2025-02-25,الكريب,0.0,49.0,56.744557851228585,374.0,327.51364793015193,73.0,291.0
2025-02-25,الروحية ,0.0,38.0,22.165116311505784,124.0,166.0896652568782,11.0,67.0
2025-02-25,سعدية برقو,0.0,88.0,64.74984620979198,393.0,375.92730602976906,40.0,230.0
2025-02-25,سد الأخماس,0.0,58.0,42.99166666716336,263.0,267.50783866572647,38.0,159.0
2025-02-25,مكثر,0.0,68.0,48.771076869620714,188.0,301.0379998332263,42.0,237.0
2025-02-25,تونس قرطاج,2.0,59.0,55.953692355304966,301.2,331.29999999523176,31.0,141.6
2025-02-25,تونس المنوبية,5.0,64.3,54.63953837419932,258.8,325.69187752824047,35.2,197.10000000000002
2025-02-25,أريانة,0.0,61.0,58.859692090669526,324.0,336.35800004154424,32.0,162.0
2025-02-25,سيدي ثابت,0.0,57.0,61.56645422090847,278.0,304.43131142496395,21.0,152.0
2025-02-25,قلعة الأندلس,0.0,54.0,62.25949765567551,376.0,356.35364387716163,40.0,165.0
2025-02-25,منوبة,2.0,55.0,50.7148935737762,291.0,294.8358408625148,37.5,254.0
2025-02-25,برج العامري,5.0,52.0,51.690769166396215,310.0,282.99848945485996,38.0,213.5
2025-02-25,البطان,0.0,41.0,51.98610542736387,250.0,268.2732190933477,22.0,157.0
2025-02-25,بن عروس ,0.0,77.0,51.66694732930315,367.0,320.74199984326975,25.0,230.0
2025-02-25,برج السدرية,2.0,130.0,59.58260861933231,468.0,348.79909051719585,47.5,185.0
2025-02-25,الخليدية,0.0,72.0,47.24614173467675,378.0,311.3517194985612,36.0,233.0
2025-02-25,نابل,0.0,80.0,39.865333478997144,453.0,293.2837553612554,26.5,178.7
2025-02-25,قليبية ,0.0,82.0,63.49830782019175,529.0,402.46073466746174,30.5,199.0
2025-02-25,قربة ,0.0,72.0,48.48292303922084,453.0,317.5417550901401,20.0,119.5
2025-02-25,منزل بوزلفة,0.0,146.0,59.56417345863854,528.0,373.4411020250709,51.5,216.5
2025-02-25,قرمبالية,0.0,148.0,54.69400002698487,572.5,355.0717144376284,38.5,268.5
2025-02-25,الهوارية ,0.0,89.0,69.58588038290854,749.0,430.7302324461729,61.0,267.5
